country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Azerbaijan,AZ,AZE,31,Moderate food poverty,2023,34.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Moderate food poverty,2006,41.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Moderate food poverty,2023,34.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2011,44.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2014,44.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2018,44.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2019,46.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2022,41.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2011,45.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2014,45.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2018,45.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2019,45.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2022,40.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2011,44.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2014,45.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2018,44.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2019,46.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Moderate food poverty,2022,41.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Moderate food poverty,2019,28.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Moderate food poverty,2019,30.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Moderate food poverty,2019,29.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Moderate food poverty,2015,31.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Moderate food poverty,2015,33.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Moderate food poverty,2015,32.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2012,28.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2014,45.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2018,29.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2021,43.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2012,30.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2014,48.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2018,30.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2021,40.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2012,29.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2014,46.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2018,30.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Moderate food poverty,2021,41.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Moderate food poverty,2015,33.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Moderate food poverty,2015,40.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Moderate food poverty,2015,37.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Moderate food poverty,2008,25.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Moderate food poverty,2016,24.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Moderate food poverty,2008,28.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Moderate food poverty,2016,20.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Moderate food poverty,2008,27.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Moderate food poverty,2016,22.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Brazil,BR,BRA,76,Moderate food poverty,2019,25.9,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
Brazil,BR,BRA,76,Moderate food poverty,2019,30.5,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
Brazil,BR,BRA,76,Moderate food poverty,2019,28.3,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2010,28.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2019,42.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2020,51.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2021,48.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2010,28.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2019,40.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2020,53.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2021,49.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2010,28.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2019,41.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2020,52.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Moderate food poverty,2021,49.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Moderate food poverty,2010,60.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Moderate food poverty,2016,64.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Moderate food poverty,2010,62.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Moderate food poverty,2016,62.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Moderate food poverty,2010,61.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Moderate food poverty,2016,63.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2005,55.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2010,52.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2014,42.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2021,37.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2005,51.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2010,52.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2014,46.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2021,37.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2005,53.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2010,52.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2014,44.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Moderate food poverty,2021,37.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2011,51.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2014,52.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2018,51.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2011,48.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2014,51.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2018,53.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2011,50.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2014,51.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Moderate food poverty,2018,52.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Moderate food poverty,2010,53.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Moderate food poverty,2010,54.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Moderate food poverty,2010,54.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2015,36.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2019-08,47.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2019-09,35.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2020,51.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2022,33.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2015,35.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2019-08,49.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2019-09,36.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2020,50.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2022,35.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2015,36.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2019-08,48.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2019-09,36.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2020,50.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Moderate food poverty,2022,34.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Moderate food poverty,2017,29.0,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Moderate food poverty,2017,29.4,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Moderate food poverty,2017,29.2,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Moderate food poverty,2010,29.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Moderate food poverty,2016,21.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Moderate food poverty,2010,29.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Moderate food poverty,2016,26.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Moderate food poverty,2010,29.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Moderate food poverty,2016,24.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Moderate food poverty,2012,50.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Moderate food poverty,2022,46.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Moderate food poverty,2012,44.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Moderate food poverty,2022,51.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Moderate food poverty,2012,47.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Moderate food poverty,2022,49.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Moderate food poverty,2011,57.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Moderate food poverty,2014,47.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Moderate food poverty,2011,57.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Moderate food poverty,2014,55.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Moderate food poverty,2011,57.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Moderate food poverty,2014,51.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Moderate food poverty,2018,22.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Moderate food poverty,2018,19.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Moderate food poverty,2018,21.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Moderate food poverty,2014,25.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Moderate food poverty,2019,32.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Moderate food poverty,2014,27.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Moderate food poverty,2019,33.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Moderate food poverty,2014,26.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Moderate food poverty,2019,32.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2012,47.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2016,47.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2021,41.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2012,47.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2016,48.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2021,39.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2012,47.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2016,48.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Moderate food poverty,2021,40.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2013,53.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2017,49.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2013,51.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2017,53.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2013,52.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Moderate food poverty,2017,51.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2007,28.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2013,32.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2014,34.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2019,27.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2007,32.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2013,41.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2014,36.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2019,25.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2007,30.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2013,36.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2014,35.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Moderate food poverty,2019,26.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Moderate food poverty,2019,24.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Moderate food poverty,2023,22.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Moderate food poverty,2019,23.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Moderate food poverty,2023,20.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Moderate food poverty,2019,23.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Moderate food poverty,2023,21.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2005,30.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2008,34.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2014,38.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2021,34.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2005,25.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2008,34.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2014,39.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2021,38.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2005,27.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Moderate food poverty,2008,34.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
