country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Moderate food poverty,2015,38.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Moderate food poverty,2022,35.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Moderate food poverty,2015,38.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Moderate food poverty,2022,37.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Moderate food poverty,2015,38.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Moderate food poverty,2022,36.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Moderate food poverty,2009,25.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Moderate food poverty,2017,33.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Moderate food poverty,2009,24.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Moderate food poverty,2017,25.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Moderate food poverty,2009,25.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Moderate food poverty,2017,29.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Moderate food poverty,2019,43.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Moderate food poverty,2019,44.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Moderate food poverty,2019,43.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Moderate food poverty,2015,41.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Moderate food poverty,2015,40.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Moderate food poverty,2015,41.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2005,34.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2010,38.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2016,46.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2005,31.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2010,36.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2016,52.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2005,33.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2010,37.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Moderate food poverty,2016,49.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Moderate food poverty,2006,42.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Moderate food poverty,2023,33.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Moderate food poverty,2006,40.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
